,home with,business meeting with,gym/sport with,party with,outdoor with,school/office with,meetup with friends & family with,club or bar with,home without,business meeting without,gym/sport without,party without,outdoor without,school/office without,meetup with friends & family without,club or bar without
38,0.9999999999999999,0.2,,,1.0,,,,0.5428571428571428,0.19999999999999996,,0.30000000000000004,0.95,,,
39,0.9999999999999999,1.0,,,1.0,,,,1.0,0.7,,0.0,0.7,,,
40,1.0,0.9999999999999998,,,0.625,,,,0.5428571428571428,0.4,,0.35,0.5,,,
41,1.0,0.5428571428571428,,,0.25,,,,0.10000000000000003,1.0,,1.0,1.0,,,
42,1.0,0.9285714285714286,,,0.9999999999999999,,,,0.10000000000000003,0.10000000000000003,,0.7,0.30000000000000004,,,
43,0.3333333333333333,,,,1.0,,,,0.0,0.8857142857142857,,0.19999999999999996,0.4,,,
44,0.2777777777777778,,,,0.5,,,,0.7,,,0.7,0.7,,,
45,0.7777777777777777,,,,0.375,,,,0.7,,,0.10000000000000003,0.10000000000000003,,,
46,0.8888888888888888,,,,0.12500000000000003,,,,0.8999999999999999,,,0.75,0.0,,,
47,1.0,,,,0.375,,,,0.19999999999999996,,,0.0,0.30000000000000004,,,
48,0.2063492063492063,,,,1.0,,,,0.35,,,,0.4,,,
49,0.7817460317460317,,,,,,,,1.0,,,,1.0,,,
50,1.0,,,,,,,,0.25,,,,0.30000000000000004,,,
51,1.0,,,,,,,,0.7,,,,0.10000000000000003,,,
52,,,,,,,,,0.4,,,,,,,
53,,,,,,,,,0.75,,,,,,,
54,,,,,,,,,0.8,,,,,,,
55,,,,,,,,,0.8999999999999999,,,,,,,
